No,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer Networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,4Predictive Analytics,4Web and Social Media Analytics,4Professional Elective - 4,4Professional Elective - 5,4Open Elective - 2,4Web and Social Media Analytics Lab,4Mini Project ,4Seminar,4Project Stage - 1,4Organizational Behaviour,4Professional Elective - 6,4Open Elective - 3,4Project Stage - 2,CGPA
1,A,C,B+,A+,B+,B,C,O,A+,A,C,B+,B+,C,B+,O,B+,A,C,O,C,B+,B+,B,A,B+,B+,B+,B+,B+,O,C,B,B,O,A,O,A+,A,A,A,B,A+,O,O,C,A,C,O,B+,B+,A,B,C,B,A,O,C,C,C,7.134375
2,B,B+,B+,O,A+,B,C,C,A,B+,B+,B+,B+,B+,A,B+,B+,A,A,C,B,C,C,B,O,B+,A,C,A,B+,O,O,A,A+,A+,B,B+,A+,O,O,A,A+,B+,B,B+,B+,B+,A+,O,B+,O,B,A+,C,A+,C,B,O,C,O,7.375
3,A+,C,B+,A,B,O,B+,B+,A+,B,O,A,A,A+,C,A,O,B,C,A,A+,A+,B,B,A+,O,B,A+,B,B+,C,A+,A,B,C,O,B+,C,B,O,B,A+,O,C,A,O,C,B,C,C,O,B,C,C,O,B,C,C,O,A+,7.425
4,A,B+,B+,B+,O,B,A,C,B+,A+,C,C,C,C,C,C,A,O,B+,B+,C,B,B,A+,A+,A+,O,B+,A+,B,B,O,O,C,A+,B,O,B,A,A+,B+,B+,A+,C,B,C,A+,B,C,A,C,C,A,O,A+,A+,B,O,A+,B,7.11875
5,A,A,A+,A,B+,O,O,A,A,B,B+,B+,B,C,B,B+,O,B,C,A,A+,A+,A,O,C,A+,B,A,C,A,B,B+,C,B,B,C,A,A+,B+,C,A+,B+,O,C,O,B+,B+,O,A,A,B,A,O,O,C,B+,A+,C,B+,C,7.3
6,A+,A,A+,A,B+,O,B+,B+,A+,A+,C,B+,C,C,B,A+,O,B,B+,O,B+,B,A+,A,A+,A+,A+,A+,O,A,C,A,C,C,C,B,A+,A+,B+,O,B,A+,A+,A+,C,B+,A+,B+,B+,A+,B,B+,B+,B,B+,A,C,B,A,B,7.390625
7,C,B+,O,B,B,A,B+,A,B,B+,B+,O,C,C,C,B,A,C,B,A,C,C,B,C,B,B+,O,B,A+,B+,O,A+,C,B+,C,B,C,B+,A,B+,A+,B,A,A+,B+,O,C,B,A,B,A+,O,B+,O,O,B,A,B,B+,O,7.1625
8,B,O,B+,B,A+,A,O,B+,A,B+,A,B,B,A,B+,O,A,O,C,B+,A+,B,O,C,O,O,A+,B,A+,C,A,B+,B,B,A+,B+,C,A,B,C,B,B,B+,B,C,B+,C,A,A,O,C,A+,C,O,B+,A+,A,O,C,B+,7.3625
9,A,A+,A+,A+,A+,C,O,B,A,A+,A,O,B+,A,B,C,B,B,A,B,B,O,O,B+,O,C,O,A,C,O,A,A+,C,B,A,O,A+,C,C,O,A,C,A+,C,C,A+,C,A+,B+,A+,A,A+,A,B+,B+,B+,B+,B+,O,A,7.578125
10,A,O,A+,A,A+,B+,A+,B,A+,B,B+,B+,B+,B,C,B,B+,B+,B+,A+,A+,A+,A+,A,B,A,B+,A,A+,B,O,B,A+,O,A+,B+,B,C,A,B,B+,A,B+,A,O,B+,A,B,B,C,B+,B,B+,C,A+,B,O,A+,O,A,7.546875
11,A,B,B+,B,B+,A,C,A+,A,A+,A,A,B,A+,B,B+,O,C,A+,B+,B+,B+,O,A+,A+,A+,A+,A+,O,O,C,O,O,A+,A+,A+,C,C,A,A,C,O,A,C,B+,A,B,C,B,A+,O,A+,B+,B,A,C,A+,A+,O,O,7.85
12,C,O,B,B+,O,B,A+,B+,B+,O,B,O,A,C,C,C,O,B+,A,B+,C,C,B,O,A+,B,C,B,B,B+,O,A,A+,C,A,B+,A,O,O,B,A+,O,O,C,A,B,A+,B+,B+,C,A+,B,B,A+,A+,A,O,C,O,C,7.290625
13,B+,A,C,B+,O,B,B+,C,B+,C,A+,O,O,C,B+,C,A+,O,B+,C,B+,A,C,A,C,A+,B+,B+,A+,A,O,O,B,A+,A+,B+,B+,A+,O,A+,C,C,A+,B,C,A,A+,A+,C,O,O,B+,A,A+,C,B,A+,B,B,A,7.721875
14,O,A,C,O,C,B+,B,B,A+,A+,O,B+,O,C,C,A+,B+,A,C,A+,C,C,A+,C,B+,C,B+,O,C,C,B+,B,A,O,B+,C,C,O,O,A,A,A+,A+,A+,B+,A+,O,C,C,B+,A,A+,B+,B+,A+,A+,A,A+,B+,O,7.575
15,C,O,B+,C,C,O,A,A,C,B,C,C,A+,B+,O,A+,A,B+,O,B,A,C,A+,B+,B+,A+,C,A+,O,B,B,B,A+,A,C,B,A+,O,A+,C,A,B+,O,B,B,O,A,B+,A,A,A+,C,B,B,B+,B+,B,O,O,A+,7.584375
16,A+,C,C,B+,A,C,C,A+,O,B+,B,O,O,C,B+,C,A,A,C,B+,O,A+,O,C,C,O,B+,A,A,A,O,A+,O,B+,C,A+,B,B,A+,C,A,B+,O,A+,A+,B+,A,A,A+,C,C,A,B,B+,A+,B+,B+,B+,B+,C,7.40625
17,B,B,C,A+,B,B,B+,A+,A+,B+,B,B+,A+,O,B,O,O,C,A,O,B+,A+,A,B,A,A+,A+,A,B+,A,A+,O,A+,B+,C,A,B+,O,C,B+,B+,B+,A,A+,A,B+,O,A+,A,A+,B,A,B,O,B,B+,C,O,B+,A,7.728125
18,O,A,O,C,O,B+,B,C,A,A+,A,C,A+,O,C,C,A,B+,A+,C,B+,A,B,A,A+,B,O,A+,B+,B,A,B+,B,A+,A+,O,B+,B,B+,B+,A,A+,B,B+,O,C,A,A+,B,C,O,A+,A,B,B+,A+,C,C,B+,B,7.44375
19,A,B+,A+,B+,B+,A+,A,B+,B,A+,O,A+,A,B+,A,B,B,B,A+,B,A+,A,A,O,C,A,B+,C,C,O,A,B,B+,A+,B+,C,C,A+,A+,O,B+,A+,A+,B,C,A+,O,B+,B+,B,B,O,O,C,A,A+,B+,C,A,O,7.659375
20,B+,B+,A+,A+,B+,B+,A+,A+,B+,O,O,C,O,A+,B+,A,A,B,B+,B+,O,B,O,C,B,B,A+,A,B,B+,A+,A,A,A,B,A,A+,B+,B,C,O,A,A,A,A+,B,B+,C,A+,A+,C,C,B,C,C,O,C,O,C,C,7.321875
21,A,A,B+,A,A+,O,A,A,A+,C,C,B+,B+,B,O,A+,B+,O,C,B,O,B+,C,O,A,C,C,A+,B+,A,A+,C,B+,B,O,C,A+,O,B+,A+,B+,B,B,O,A+,A+,O,B,O,A+,B,A,A,B+,O,A,C,B+,C,B,7.50625
