,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,CGPA
0,8,5,7,9,7,6,5,10,9,8,5,7,7,5,7,10,7,8,5,10,5,7,7,6,8,7,7,7,7,7,10,5,6,6,10,8,10,9,8,8,8,6,9,10,10,5,8,7.134375
1,6,7,7,10,9,6,5,5,8,7,7,7,7,7,8,7,7,8,8,5,6,5,5,6,10,7,8,5,8,7,10,10,8,9,9,6,7,9,10,10,8,9,7,6,7,7,7,7.375
2,9,5,7,8,6,10,7,7,9,6,10,8,8,9,5,8,10,6,5,8,9,9,6,6,9,10,6,9,6,7,5,9,8,6,5,10,7,5,6,10,6,9,10,5,8,10,5,7.425
3,8,7,7,7,10,6,8,5,7,9,5,5,5,5,5,5,8,10,7,7,5,6,6,9,9,9,10,7,9,6,6,10,10,5,9,6,10,6,8,9,7,7,9,5,6,5,9,7.11875
4,8,8,9,8,7,10,10,8,8,6,7,7,6,5,6,7,10,6,5,8,9,9,8,10,5,9,6,8,5,8,6,7,5,6,6,5,8,9,7,5,9,7,10,5,10,7,7,7.3
5,9,8,9,8,7,10,7,7,9,9,5,7,5,5,6,9,10,6,7,10,7,6,9,8,9,9,9,9,10,8,5,8,5,5,5,6,9,9,7,10,6,9,9,9,5,7,9,7.390625
6,5,7,10,6,6,8,7,8,6,7,7,10,5,5,5,6,8,5,6,8,5,5,6,5,6,7,10,6,9,7,10,9,5,7,5,6,5,7,8,7,9,6,8,9,7,10,5,7.1625
7,6,10,7,6,9,8,10,7,8,7,8,6,6,8,7,10,8,10,5,7,9,6,10,5,10,10,9,6,9,5,8,7,6,6,9,7,5,8,6,5,6,6,7,6,5,7,5,7.3625
8,8,9,9,9,9,5,10,6,8,9,8,10,7,8,6,5,6,6,8,6,6,10,10,7,10,5,10,8,5,10,8,9,5,6,8,10,9,5,5,10,8,5,9,5,5,9,5,7.578125
9,8,10,9,8,9,7,9,6,9,6,7,7,7,6,5,6,7,7,7,9,9,9,9,8,6,8,7,8,9,6,10,6,9,10,9,7,6,5,8,6,7,8,7,8,10,7,8,7.546875
10,8,6,7,6,7,8,5,9,8,9,8,8,6,9,6,7,10,5,9,7,7,7,10,9,9,9,9,9,10,10,5,10,10,9,9,9,5,5,8,8,5,10,8,5,7,8,6,7.85
11,5,10,6,7,10,6,9,7,7,10,6,10,8,5,5,5,10,7,8,7,5,5,6,10,9,6,5,6,6,7,10,8,9,5,8,7,8,10,10,6,9,10,10,5,8,6,9,7.290625
12,7,8,5,7,10,6,7,5,7,5,9,10,10,5,7,5,9,10,7,5,7,8,5,8,5,9,7,7,9,8,10,10,6,9,9,7,7,9,10,9,5,5,9,6,5,8,9,7.721875
13,10,8,5,10,5,7,6,6,9,9,10,7,10,5,5,9,7,8,5,9,5,5,9,5,7,5,7,10,5,5,7,6,8,10,7,5,5,10,10,8,8,9,9,9,7,9,10,7.575
14,5,10,7,5,5,10,8,8,5,6,5,5,9,7,10,9,8,7,10,6,8,5,9,7,7,9,5,9,10,6,6,6,9,8,5,6,9,10,9,5,8,7,10,6,6,10,8,7.584375
15,9,5,5,7,8,5,5,9,10,7,6,10,10,5,7,5,8,8,5,7,10,9,10,5,5,10,7,8,8,8,10,9,10,7,5,9,6,6,9,5,8,7,10,9,9,7,8,7.40625
16,6,6,5,9,6,6,7,9,9,7,6,7,9,10,6,10,10,5,8,10,7,9,8,6,8,9,9,8,7,8,9,10,9,7,5,8,7,10,5,7,7,7,8,9,8,7,10,7.728125
17,10,8,10,5,10,7,6,5,8,9,8,5,9,10,5,5,8,7,9,5,7,8,6,8,9,6,10,9,7,6,8,7,6,9,9,10,7,6,7,7,8,9,6,7,10,5,8,7.44375
18,8,7,9,7,7,9,8,7,6,9,10,9,8,7,8,6,6,6,9,6,9,8,8,10,5,8,7,5,5,10,8,6,7,9,7,5,5,9,9,10,7,9,9,6,5,9,10,7.659375
19,7,7,9,9,7,7,9,9,7,10,10,5,10,9,7,8,8,6,7,7,10,6,10,5,6,6,9,8,6,7,9,8,8,8,6,8,9,7,6,5,10,8,8,8,9,6,7,7.321875
20,8,8,7,8,9,10,8,8,9,5,5,7,7,6,10,9,7,10,5,6,10,7,5,10,8,5,5,9,7,8,9,5,7,6,10,5,9,10,7,9,7,6,6,10,9,9,10,7.50625
21,10,10,6,9,8,5,10,8,9,9,9,7,7,9,9,6,5,7,7,7,5,10,9,5,6,9,7,5,5,5,8,9,9,5,9,7,7,9,10,7,7,10,5,9,8,8,9,7.65
22,8,6,10,6,9,9,9,10,8,8,8,7,6,5,6,9,10,8,5,10,6,5,9,8,5,6,8,5,6,6,9,10,5,6,6,7,7,5,9,10,10,9,10,8,9,9,6,7.4125
23,9,10,7,8,9,9,8,8,10,5,7,7,9,9,5,7,6,9,9,6,8,10,6,9,7,8,7,6,8,8,10,6,10,5,8,10,6,9,8,10,7,6,7,5,6,9,7,7.58125
24,7,10,5,8,9,8,5,9,8,8,9,6,10,10,6,10,10,9,7,8,6,7,10,6,8,5,5,7,9,8,10,9,9,7,5,5,7,6,9,6,9,8,7,6,9,5,7,7.38125
25,9,9,8,6,9,9,6,6,9,8,5,8,10,7,10,6,8,5,5,9,6,6,9,10,5,8,7,10,5,9,9,9,6,6,8,6,8,5,8,5,7,5,6,6,8,7,9,7.3375
26,6,9,7,9,6,9,9,9,6,9,10,8,5,6,6,7,9,7,8,10,7,5,6,5,8,7,5,6,6,8,6,5,8,5,8,10,10,6,8,9,7,8,9,5,6,6,7,7.11875
27,5,8,7,9,7,8,6,10,8,7,10,8,6,10,6,6,9,9,5,8,7,10,6,9,7,5,5,9,9,9,8,6,8,6,10,6,8,8,6,8,6,9,10,9,6,5,9,7.409375
28,5,6,5,8,9,8,7,5,5,7,9,9,8,8,6,6,10,5,10,8,9,8,6,9,6,6,9,8,10,6,6,5,8,5,9,6,6,7,8,9,8,10,9,8,10,7,7,7.671875
29,10,9,6,10,6,5,9,8,6,8,8,9,7,6,7,9,7,9,8,7,9,10,9,5,10,6,10,7,8,8,5,7,6,8,5,6,6,5,6,10,8,7,5,10,8,10,5,7.684375
30,7,7,6,5,9,8,6,9,5,7,10,5,10,8,6,10,5,9,5,8,8,10,8,7,8,7,8,5,9,10,5,8,8,7,8,10,10,7,9,10,6,8,8,10,8,9,5,7.74375
31,8,9,5,7,8,10,10,5,6,9,7,8,8,8,5,5,7,6,8,7,8,8,10,5,10,10,5,8,7,6,7,9,10,8,10,7,8,5,6,7,6,7,9,8,6,10,10,7.95
32,5,10,10,10,7,9,7,8,10,10,6,10,5,10,5,5,7,8,10,6,5,9,7,10,10,7,7,7,8,6,9,8,8,8,5,9,10,6,9,5,5,6,5,5,6,9,5,7.10625
33,5,10,7,8,7,9,8,8,9,7,7,9,8,5,8,5,6,9,7,5,6,9,5,8,6,5,7,9,7,8,10,6,8,9,8,9,9,10,10,5,8,8,5,10,10,5,6,7.54375
34,10,5,6,9,6,5,6,10,9,8,5,7,9,6,6,8,8,9,5,6,5,8,7,9,9,6,6,8,8,9,10,5,9,9,5,6,8,8,9,10,8,7,6,5,5,5,7,7.3625
35,9,10,8,8,10,10,8,10,7,9,9,10,6,7,7,10,5,10,7,6,10,7,5,10,7,6,9,10,5,8,8,8,10,9,8,10,8,10,7,10,9,10,5,6,8,5,7,7.959375
36,8,10,8,6,6,9,5,5,9,6,10,9,5,7,9,8,7,7,9,6,7,10,6,6,5,5,5,7,8,10,5,5,9,6,10,9,9,6,6,8,10,5,5,9,7,6,5,7.415625
37,6,5,10,8,7,8,6,10,9,5,8,6,6,8,5,6,10,10,5,9,8,7,8,7,8,7,10,6,9,6,7,10,8,5,8,10,9,7,6,5,5,9,10,10,8,10,10,7.5625
38,7,6,10,5,8,9,6,5,10,8,5,9,6,10,7,6,7,5,9,5,8,7,7,9,8,9,8,7,10,6,10,10,8,8,8,10,6,9,9,6,8,8,9,5,9,5,10,7.871875
39,10,8,6,5,5,6,7,9,5,7,5,5,6,6,9,7,7,6,7,8,8,7,6,9,5,5,6,9,9,9,5,9,8,6,5,9,10,10,9,9,6,6,9,7,7,6,6,7.028125
40,5,7,5,7,5,10,9,9,7,7,5,6,10,7,6,10,6,5,8,8,8,9,7,5,7,10,8,10,5,9,8,6,10,9,9,9,5,10,8,10,9,5,8,7,8,6,5,7.665625
41,7,8,9,10,5,5,5,9,7,5,10,8,10,7,7,5,10,10,6,6,5,6,8,5,5,9,9,9,8,5,8,6,7,7,6,5,7,5,6,6,7,8,10,10,6,6,7,7.15
42,10,8,9,9,9,9,10,10,8,6,6,7,8,8,9,10,9,5,8,10,5,9,9,9,7,8,8,10,7,6,6,5,8,7,9,5,6,7,8,6,7,5,10,10,8,6,8,7.878125
43,8,8,9,9,10,9,5,9,5,8,7,10,6,8,10,8,7,7,8,6,10,6,6,7,7,9,8,8,10,10,8,8,7,8,7,5,8,8,8,6,6,5,8,10,7,5,6,7.434375
44,6,6,7,7,8,8,6,5,10,6,7,7,10,6,5,8,6,8,6,8,8,9,9,9,7,6,7,8,7,6,6,8,6,9,10,10,5,6,6,10,8,6,9,8,8,5,5,7.409375
45,7,10,8,8,7,5,8,7,5,8,7,5,5,5,5,6,6,7,7,6,9,7,9,8,7,8,7,6,10,7,7,7,5,10,9,8,9,5,6,10,10,8,6,8,5,9,5,7.209375
